dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1832-01-01,25.953000000000003,1.57,Alagoinhas,Brazil,12.05S,37.81W
1832-02-01,25.933000000000003,2.372,Alagoinhas,Brazil,12.05S,37.81W
1832-03-01,25.968000000000004,1.585,Alagoinhas,Brazil,12.05S,37.81W
1832-04-01,25.1,2.175,Alagoinhas,Brazil,12.05S,37.81W
1832-05-01,24.213,1.8090000000000002,Alagoinhas,Brazil,12.05S,37.81W
1832-06-01,23.844,1.695,Alagoinhas,Brazil,12.05S,37.81W
1832-07-01,23.139,2.161,Alagoinhas,Brazil,12.05S,37.81W
1832-08-01,22.21,1.8330000000000002,Alagoinhas,Brazil,12.05S,37.81W
1832-09-01,22.816999999999997,2.224,Alagoinhas,Brazil,12.05S,37.81W
1832-10-01,24.397,1.714,Alagoinhas,Brazil,12.05S,37.81W
1832-11-01,24.847,1.185,Alagoinhas,Brazil,12.05S,37.81W
1832-12-01,24.711,3.245,Alagoinhas,Brazil,12.05S,37.81W
1833-01-01,26.389,2.265,Alagoinhas,Brazil,12.05S,37.81W
1833-02-01,26.886000000000006,1.659,Alagoinhas,Brazil,12.05S,37.81W
1833-03-01,25.921,2.213,Alagoinhas,Brazil,12.05S,37.81W
1833-04-01,25.647,1.585,Alagoinhas,Brazil,12.05S,37.81W
1833-05-01,24.371,1.37,Alagoinhas,Brazil,12.05S,37.81W
1833-06-01,23.913,1.605,Alagoinhas,Brazil,12.05S,37.81W
1833-07-01,23.063000000000002,1.3880000000000001,Alagoinhas,Brazil,12.05S,37.81W
1833-08-01,23.318,1.8230000000000002,Alagoinhas,Brazil,12.05S,37.81W
1833-09-01,23.976,1.429,Alagoinhas,Brazil,12.05S,37.81W
1833-10-01,24.385,1.32,Alagoinhas,Brazil,12.05S,37.81W
1833-11-01,27.341,1.5190000000000001,Alagoinhas,Brazil,12.05S,37.81W
1833-12-01,26.615,2.105,Alagoinhas,Brazil,12.05S,37.81W
1834-01-01,24.97,1.736,Alagoinhas,Brazil,12.05S,37.81W
1834-02-01,26.285999999999998,1.9180000000000001,Alagoinhas,Brazil,12.05S,37.81W
1834-03-01,26.616,1.985,Alagoinhas,Brazil,12.05S,37.81W
1834-04-01,25.399,1.885,Alagoinhas,Brazil,12.05S,37.81W
1834-05-01,25.39,1.4140000000000001,Alagoinhas,Brazil,12.05S,37.81W
1834-06-01,23.182,2.01,Alagoinhas,Brazil,12.05S,37.81W
1834-07-01,23.487,1.554,Alagoinhas,Brazil,12.05S,37.81W
1834-08-01,22.884,1.307,Alagoinhas,Brazil,12.05S,37.81W
1834-09-01,23.938000000000002,2.074,Alagoinhas,Brazil,12.05S,37.81W
1834-10-01,24.265,1.213,Alagoinhas,Brazil,12.05S,37.81W
1834-11-01,25.768,1.8969999999999998,Alagoinhas,Brazil,12.05S,37.81W
1834-12-01,26.291,1.504,Alagoinhas,Brazil,12.05S,37.81W
1835-01-01,26.703000000000003,1.4269999999999998,Alagoinhas,Brazil,12.05S,37.81W
1835-02-01,26.576,1.895,Alagoinhas,Brazil,12.05S,37.81W
1835-03-01,25.078000000000003,1.71,Alagoinhas,Brazil,12.05S,37.81W
1835-04-01,24.803,1.889,Alagoinhas,Brazil,12.05S,37.81W
1835-05-01,23.726,1.271,Alagoinhas,Brazil,12.05S,37.81W
1835-06-01,22.878,1.6059999999999999,Alagoinhas,Brazil,12.05S,37.81W
1835-07-01,22.768,1.7080000000000002,Alagoinhas,Brazil,12.05S,37.81W
1835-08-01,22.435,1.339,Alagoinhas,Brazil,12.05S,37.81W
1835-09-01,22.005,1.324,Alagoinhas,Brazil,12.05S,37.81W
1835-10-01,23.793000000000003,1.138,Alagoinhas,Brazil,12.05S,37.81W
1835-11-01,24.289,1.534,Alagoinhas,Brazil,12.05S,37.81W
1835-12-01,24.231,1.5030000000000001,Alagoinhas,Brazil,12.05S,37.81W
1836-01-01,26.037,1.238,Alagoinhas,Brazil,12.05S,37.81W
1836-02-01,26.269,1.6440000000000001,Alagoinhas,Brazil,12.05S,37.81W
1836-03-01,26.579,1.29,Alagoinhas,Brazil,12.05S,37.81W
1836-04-01,24.483,1.213,Alagoinhas,Brazil,12.05S,37.81W
1836-05-01,23.522,1.2209999999999999,Alagoinhas,Brazil,12.05S,37.81W
1836-06-01,23.293000000000003,1.214,Alagoinhas,Brazil,12.05S,37.81W
1836-07-01,23.416,1.8219999999999998,Alagoinhas,Brazil,12.05S,37.81W
1836-08-01,22.894000000000002,1.807,Alagoinhas,Brazil,12.05S,37.81W
1836-09-01,22.636999999999997,1.7080000000000002,Alagoinhas,Brazil,12.05S,37.81W
1836-10-01,24.341,3.28,Alagoinhas,Brazil,12.05S,37.81W
1836-11-01,24.336,1.5019999999999998,Alagoinhas,Brazil,12.05S,37.81W
1836-12-01,25.691,1.984,Alagoinhas,Brazil,12.05S,37.81W
1837-01-01,26.162,1.734,Alagoinhas,Brazil,12.05S,37.81W
1837-02-01,25.846,1.715,Alagoinhas,Brazil,12.05S,37.81W
1837-03-01,24.643,1.584,Alagoinhas,Brazil,12.05S,37.81W
1837-04-01,23.825,1.2830000000000001,Alagoinhas,Brazil,12.05S,37.81W
1837-05-01,23.739,1.476,Alagoinhas,Brazil,12.05S,37.81W
1837-06-01,22.574,1.633,Alagoinhas,Brazil,12.05S,37.81W
1837-07-01,22.635,1.3019999999999998,Alagoinhas,Brazil,12.05S,37.81W
1837-08-01,22.788,1.159,Alagoinhas,Brazil,12.05S,37.81W
1837-09-01,23.104,1.227,Alagoinhas,Brazil,12.05S,37.81W
1837-10-01,23.893,1.933,Alagoinhas,Brazil,12.05S,37.81W
1837-11-01,24.624000000000002,1.758,Alagoinhas,Brazil,12.05S,37.81W
1837-12-01,25.322,2.766,Alagoinhas,Brazil,12.05S,37.81W
1838-01-01,23.991,2.0340000000000003,Alagoinhas,Brazil,12.05S,37.81W
1838-02-01,25.225,1.45,Alagoinhas,Brazil,12.05S,37.81W
1838-03-01,24.823,1.466,Alagoinhas,Brazil,12.05S,37.81W
1838-04-01,24.791,1.249,Alagoinhas,Brazil,12.05S,37.81W
1838-05-01,23.49,1.135,Alagoinhas,Brazil,12.05S,37.81W
1838-06-01,23.616,1.3869999999999998,Alagoinhas,Brazil,12.05S,37.81W
1838-07-01,23.644,2.528,Alagoinhas,Brazil,12.05S,37.81W
1838-08-01,22.818,2.2569999999999997,Alagoinhas,Brazil,12.05S,37.81W
1838-09-01,23.408,1.2830000000000001,Alagoinhas,Brazil,12.05S,37.81W
1838-10-01,24.664,2.614,Alagoinhas,Brazil,12.05S,37.81W
1838-11-01,25.013,1.963,Alagoinhas,Brazil,12.05S,37.81W
1838-12-01,25.869,2.124,Alagoinhas,Brazil,12.05S,37.81W
1839-01-01,25.995,1.4869999999999999,Alagoinhas,Brazil,12.05S,37.81W
1839-02-01,26.647,1.7180000000000002,Alagoinhas,Brazil,12.05S,37.81W
1839-03-01,24.264,1.4069999999999998,Alagoinhas,Brazil,12.05S,37.81W
1839-04-01,25.366999999999997,1.44,Alagoinhas,Brazil,12.05S,37.81W
1839-05-01,24.199,1.069,Alagoinhas,Brazil,12.05S,37.81W
1839-06-01,23.406999999999996,1.125,Alagoinhas,Brazil,12.05S,37.81W
1839-07-01,23.15,2.3409999999999997,Alagoinhas,Brazil,12.05S,37.81W
1839-08-01,23.340999999999998,1.69,Alagoinhas,Brazil,12.05S,37.81W
1839-09-01,22.856,1.271,Alagoinhas,Brazil,12.05S,37.81W
1839-10-01,23.823,1.557,Alagoinhas,Brazil,12.05S,37.81W
1839-11-01,24.133000000000003,1.641,Alagoinhas,Brazil,12.05S,37.81W
1839-12-01,24.427,1.7469999999999999,Alagoinhas,Brazil,12.05S,37.81W
1840-01-01,26.449,1.4780000000000002,Alagoinhas,Brazil,12.05S,37.81W
1840-02-01,26.045,1.8619999999999999,Alagoinhas,Brazil,12.05S,37.81W
1840-03-01,24.787,1.2309999999999999,Alagoinhas,Brazil,12.05S,37.81W
1840-04-01,25.236,1.781,Alagoinhas,Brazil,12.05S,37.81W
1840-05-01,25.011999999999997,1.423,Alagoinhas,Brazil,12.05S,37.81W
1840-06-01,24.045,1.294,Alagoinhas,Brazil,12.05S,37.81W
1840-07-01,23.67,1.219,Alagoinhas,Brazil,12.05S,37.81W
1840-08-01,22.558000000000003,1.204,Alagoinhas,Brazil,12.05S,37.81W
1840-09-01,23.494,1.248,Alagoinhas,Brazil,12.05S,37.81W
1840-10-01,24.383000000000003,1.694,Alagoinhas,Brazil,12.05S,37.81W
1840-11-01,24.794,2.309,Alagoinhas,Brazil,12.05S,37.81W
1840-12-01,25.588,1.864,Alagoinhas,Brazil,12.05S,37.81W
1841-01-01,25.253,1.699,Alagoinhas,Brazil,12.05S,37.81W
1841-02-01,25.695,1.295,Alagoinhas,Brazil,12.05S,37.81W
1841-03-01,25.482,2.733,Alagoinhas,Brazil,12.05S,37.81W
1841-04-01,24.976,1.5530000000000002,Alagoinhas,Brazil,12.05S,37.81W
1841-05-01,24.503,1.15,Alagoinhas,Brazil,12.05S,37.81W
1841-06-01,23.631,1.129,Alagoinhas,Brazil,12.05S,37.81W
1841-07-01,23.506999999999998,1.287,Alagoinhas,Brazil,12.05S,37.81W
1841-08-01,23.21,1.187,Alagoinhas,Brazil,12.05S,37.81W
1841-09-01,23.132,1.026,Alagoinhas,Brazil,12.05S,37.81W
1841-10-01,24.414,1.149,Alagoinhas,Brazil,12.05S,37.81W
